Rank,Title,Start Year,End Year,Genres,Rating,Vote Count
1,Breaking Bad,2008,2013,"['Crime', 'Drama', 'Thriller']",9.5,2338527
2,Planet Earth II,2016,2016,['Documentary'],9.4,166828
3,Planet Earth,2006,2006,"['Documentary', 'Family']",9.4,227678
4,Band of Brothers,2001,2001,"['Action', 'Drama', 'History']",9.4,563349
5,Chernobyl,2019,2019,"['Drama', 'History', 'Thriller']",9.3,952802
6,The Wire,2002,2008,"['Crime', 'Drama', 'Thriller']",9.3,404286
7,Avatar: The Last Airbender,2005,2008,"['Animation', 'Action', 'Adventure']",9.3,407450
8,Blue Planet II,2017,2017,['Documentary'],9.3,51991
9,The Sopranos,1999,2007,"['Crime', 'Drama']",9.2,526915
10,Cosmos: A Spacetime Odyssey,2014,2014,['Documentary'],9.2,134306
11,Cosmos,1980,1980,['Documentary'],9.3,48058
12,Our Planet,2019,2023,['Documentary'],9.2,56975
13,Game of Thrones,2011,2019,"['Action', 'Adventure', 'Drama']",9.2,2439079
14,Bluey,2018,2024,"['Animation', 'Family']",9.3,38873
15,The World at War,1973,1974,"['Documentary', 'History', 'War']",9.2,33146
16,Fullmetal Alchemist: Brotherhood,2009,2010,"['Animation', 'Action', 'Adventure']",9.1,222182
17,Life,2009,2009,['Documentary'],9.1,45838
18,Rick and Morty,2013,,"['Animation', 'Adventure', 'Comedy']",9.1,652314
19,The Last Dance,2020,2020,"['Documentary', 'Biography', 'History']",9.0,167186
20,The Twilight Zone,1959,1964,"['Drama', 'Fantasy', 'Horror']",9.0,100819
21,Attack on Titan,2013,2023,"['Animation', 'Action', 'Adventure']",9.1,614346
22,The Vietnam War,2017,2017,"['Documentary', 'History', 'War']",9.1,31583
23,Sherlock,2010,2017,"['Crime', 'Drama', 'Mystery']",9.0,1049880
24,Batman: The Animated Series,1992,1995,"['Animation', 'Action', 'Adventure']",9.0,127463
25,Arcane,2021,2024,"['Animation', 'Action', 'Adventure']",9.0,397456
26,Better Call Saul,2015,2022,"['Crime', 'Drama']",9.0,735213
27,The Office,2005,2013,['Comedy'],9.0,777569
28,The Blue Planet,2001,2001,['Documentary'],9.0,45844
29,Clarkson's Farm,2021,,"['Documentary', 'Comedy', 'Reality-TV']",9.0,72984
30,Scam 1992: The Harshad Mehta Story,2020,2020,"['Biography', 'Crime', 'Drama']",9.2,165048
31,Frozen Planet,2011,2012,['Documentary'],9.0,35753
32,Human Planet,2011,2011,['Documentary'],9.0,29988
33,Hunter x Hunter,2011,2014,"['Animation', 'Action', 'Adventure']",9.0,165030
34,Only Fools and Horses,1981,2003,['Comedy'],9.0,60898
35,Firefly,2002,2003,"['Adventure', 'Drama', 'Sci-Fi']",8.9,291200
36,The Civil War,1990,1990,"['Documentary', 'History', 'War']",9.0,21456
37,Death Note,2006,2007,"['Animation', 'Crime', 'Drama']",8.9,427645
38,Gravity Falls,2012,2016,"['Animation', 'Adventure', 'Comedy']",8.9,157737
39,As If,2021,,['Comedy'],9.0,29652
40,Seinfeld,1989,1998,['Comedy'],8.9,369512
41,Dekalog,1989,1990,['Drama'],8.9,30848
42,The Beatles: Get Back,2021,2021,"['Documentary', 'Biography', 'Music']",8.9,32332
43,Cowboy Bebop,1998,1999,"['Animation', 'Action', 'Adventure']",8.9,154557
44,The Pitt,2025,,['Drama'],8.9,49979
45,True Detective,2014,,"['Crime', 'Drama', 'Mystery']",8.9,704924
46,Nathan for You,2013,2017,"['Documentary', 'Comedy']",8.9,43946
47,Fargo,2014,2024,"['Crime', 'Drama', 'Thriller']",8.8,445558
48,Persona,2018,2024,"['Crime', 'Drama', 'Mystery']",9.0,51869
49,Apocalypse: The Second World War,2009,2009,"['Documentary', 'History', 'War']",9.0,16671
50,Taskmaster,2015,,"['Comedy', 'Game-Show']",9.0,24864
51,Frieren: Beyond Journey's End,2023,,"['Animation', 'Adventure', 'Comedy']",8.9,43060
52,Africa,2013,2013,['Documentary'],8.9,19267
53,When They See Us,2019,2019,"['Biography', 'Crime', 'Drama']",8.8,148508
54,Friends,1994,2004,"['Comedy', 'Romance']",8.9,1146510
55,Last Week Tonight with John Oliver,2014,,"['Comedy', 'News', 'Talk-Show']",8.8,100118
56,It's Always Sunny in Philadelphia,2005,,['Comedy'],8.8,266605
57,Succession,2018,2023,"['Comedy', 'Drama']",8.8,318830
58,The West Wing,1999,2006,['Drama'],8.9,92110
59,TVF Pitchers,2015,2022,"['Comedy', 'Drama']",9.1,75650
60,One Piece,1999,,"['Animation', 'Action', 'Adventure']",9.0,299198
61,Curb Your Enthusiasm,2000,2024,['Comedy'],8.8,157567
62,Monty Python's Flying Circus,1969,1974,['Comedy'],8.8,82630
63,Das Boot,1985,1985,"['Drama', 'War']",8.8,36231
64,BoJack Horseman,2014,2020,"['Animation', 'Comedy', 'Drama']",8.8,211099
65,Fawlty Towers,1975,1979,['Comedy'],8.8,105290
66,The Chosen,2017,,"['Drama', 'History']",9.1,58538
67,Panchayat,2020,,"['Comedy', 'Drama']",9.0,103334
68,Dragon Ball Z,1996,2003,"['Animation', 'Action', 'Adventure']",8.8,162960
69,Leyla and Mecnun,2011,2023,"['Adventure', 'Comedy', 'Drama']",9.0,99844
70,Blackadder Goes Forth,1989,1989,"['Comedy', 'War']",8.8,60605
71,Bleach: Thousand-Year Blood War,2022,,"['Animation', 'Action', 'Adventure']",9.0,61595
72,Pride and Prejudice,1995,1995,"['Drama', 'Romance']",8.8,98411
73,Freaks and Geeks,1999,2000,"['Comedy', 'Drama']",8.8,160058
74,Twin Peaks,1990,1991,"['Crime', 'Drama', 'Mystery']",8.7,232199
75,Dragon Ball Z,1989,1996,"['Animation', 'Action', 'Adventure']",8.8,96541
76,Chappelle's Show,2003,2006,"['Comedy', 'Music']",8.8,76230
77,Narcos,2015,2017,"['Biography', 'Crime', 'Drama']",8.7,502294
78,Vinland Saga,2019,2023,"['Animation', 'Action', 'Adventure']",8.8,101754
79,Gullak,2019,,"['Comedy', 'Drama', 'Family']",9.1,26513
80,When Life Gives You Tangerines,2025,2025,"['Drama', 'History', 'Romance']",9.2,19555
81,"I, Claudius",1976,1976,"['Biography', 'Drama', 'History']",8.8,21003
82,Kota Factory,2019,2021,"['Comedy', 'Drama']",9.0,88081
83,South Park,1997,,"['Animation', 'Comedy']",8.7,423374
84,Reply 1988,2015,2016,"['Comedy', 'Drama', 'Family']",9.0,15951
85,Black Mirror,2011,,"['Crime', 'Drama', 'Mystery']",8.7,696472
